asin,reviewTime,Number_of_reviews
0002007770,2007-07-15,1
0002007770,2007-07-16,5
0002007770,2007-07-17,2
0002007770,2007-07-18,2
0002007770,2007-07-19,4
0002007770,2007-07-21,3
0002007770,2007-07-22,2
0002007770,2007-07-23,2
0002007770,2007-07-24,3
0002007770,2007-07-25,1
0002007770,2007-07-26,2
0002007770,2007-07-28,2
0002007770,2007-07-29,3
0002007770,2007-07-30,1
0002007770,2007-08-01,1
0002007770,2007-08-02,2
0002007770,2007-08-03,5
0002007770,2007-08-04,1
0002007770,2007-08-05,3
0002007770,2007-08-06,4
0002007770,2007-08-07,2
0002007770,2007-08-08,2
0002007770,2007-08-09,2
0002007770,2007-08-10,1
0002007770,2007-08-11,2
0002007770,2007-08-12,2
0002007770,2007-08-13,3
0002007770,2007-08-14,4
0002007770,2007-08-15,4
0002007770,2007-08-16,1
0002007770,2007-08-18,1
0002007770,2007-08-19,1
0002007770,2007-08-20,2
0002007770,2007-08-21,2
0002007770,2007-08-23,4
0002007770,2007-08-24,2
0002007770,2007-08-25,1
0002007770,2007-08-27,1
0002007770,2007-08-28,2
0002007770,2007-08-29,4
0002007770,2007-08-30,3
0002007770,2007-08-31,1
0002007770,2007-09-01,1
0002007770,2007-09-02,1
0002007770,2007-09-03,1
0002007770,2007-09-04,4
0002007770,2007-09-06,2
0002007770,2007-09-09,5
0002007770,2007-09-10,1
0002007770,2007-09-12,2
0002007770,2007-09-13,1
0002007770,2007-09-15,5
0002007770,2007-09-16,1
0002007770,2007-09-17,4
0002007770,2007-09-20,2
0002007770,2007-09-22,1
0002007770,2007-09-23,2
0002007770,2007-09-24,4
0002007770,2007-09-25,1
0002007770,2007-09-26,2
0002007770,2007-09-27,3
0002007770,2007-09-30,5
0002007770,2007-10-01,5
0002007770,2007-10-02,1
0002007770,2007-10-03,3
0002007770,2007-10-04,2
0002007770,2007-10-06,1
0002007770,2007-10-09,3
0002007770,2007-10-10,3
0002007770,2007-10-12,3
0002007770,2007-10-14,2
0002007770,2007-10-17,2
0002007770,2007-10-19,2
0002007770,2007-10-20,1
0002007770,2007-10-21,1
0002007770,2007-10-22,3
0002007770,2007-10-23,1
0002007770,2007-10-24,1
0002007770,2007-10-25,1
0002007770,2007-10-26,1
0002007770,2007-10-28,2
0002007770,2007-10-30,2
0002007770,2007-10-31,3
0002007770,2007-11-02,1
0002007770,2007-11-03,1
0002007770,2007-11-04,1
0002007770,2007-11-05,2
0002007770,2007-11-07,2
0002007770,2007-11-11,2
0002007770,2007-11-12,1
0002007770,2007-11-13,1
0002007770,2007-11-14,2
0002007770,2007-11-15,2
0002007770,2007-11-16,1
0002007770,2007-11-17,1
0002007770,2007-11-19,1
0002007770,2007-11-21,2
0002007770,2007-11-22,1
0002007770,2007-11-24,1
0002007770,2007-11-25,1
0002007770,2007-11-26,1
0002007770,2007-11-28,2
0002007770,2007-11-29,3
0002007770,2007-11-30,1
0002007770,2007-12-03,1
0002007770,2007-12-04,1
0002007770,2007-12-05,3
0002007770,2007-12-07,2
0002007770,2007-12-09,2
0002007770,2007-12-10,1
0002007770,2007-12-11,2
0002007770,2007-12-12,1
0002007770,2007-12-13,1
0002007770,2007-12-14,2
0002007770,2007-12-17,1
0002007770,2007-12-18,3
0002007770,2007-12-19,1
0002007770,2007-12-21,1
0002007770,2007-12-23,1
0002007770,2007-12-27,3
0002007770,2007-12-29,1
0002007770,2007-12-30,2
0002007770,2007-12-31,2
0002007770,2008-01-01,2
0002007770,2008-01-04,1
0002007770,2008-01-05,2
0002007770,2008-01-06,3
0002007770,2008-01-07,1
0002007770,2008-01-08,2
0002007770,2008-01-09,1
0002007770,2008-01-12,1
0002007770,2008-01-13,2
0002007770,2008-01-15,3
0002007770,2008-01-18,4
0002007770,2008-01-20,3
0002007770,2008-01-21,1
0002007770,2008-01-22,1
0002007770,2008-01-23,1
0002007770,2008-01-24,1
0002007770,2008-01-25,2
0002007770,2008-01-26,1
0002007770,2008-01-28,1
0002007770,2008-01-29,3
0002007770,2008-01-30,1
0002007770,2008-02-01,1
0002007770,2008-02-05,1
0002007770,2008-02-06,1
0002007770,2008-02-08,2
0002007770,2008-02-09,1
0002007770,2008-02-11,1
0002007770,2008-02-13,2
0002007770,2008-02-14,1
0002007770,2008-02-15,1
0002007770,2008-02-16,1
0002007770,2008-02-19,2
0002007770,2008-02-22,3
0002007770,2008-02-26,2
0002007770,2008-02-27,5
0002007770,2008-02-28,2
0002007770,2008-03-04,1
0002007770,2008-03-06,1
0002007770,2008-03-07,1
0002007770,2008-03-08,2
0002007770,2008-03-10,5
0002007770,2008-03-13,2
0002007770,2008-03-14,1
0002007770,2008-03-15,2
0002007770,2008-03-18,2
0002007770,2008-03-21,2
0002007770,2008-03-22,2
0002007770,2008-03-23,1
0002007770,2008-03-26,2
0002007770,2008-03-28,3
0002007770,2008-03-29,1
0002007770,2008-03-30,1
0002007770,2008-03-31,2
0002007770,2008-04-01,1
0002007770,2008-04-03,1
0002007770,2008-04-04,1
0002007770,2008-04-05,2
0002007770,2008-04-06,2
0002007770,2008-04-08,1
0002007770,2008-04-09,2
0002007770,2008-04-10,1
0002007770,2008-04-11,1
0002007770,2008-04-14,2
0002007770,2008-04-15,1
0002007770,2008-04-16,2
0002007770,2008-04-17,2
0002007770,2008-04-18,1
0002007770,2008-04-20,1
0002007770,2008-04-21,2
0002007770,2008-04-23,1
0002007770,2008-04-25,1
0002007770,2008-04-26,2
0002007770,2008-04-29,1
0002007770,2008-05-02,1
0002007770,2008-05-04,1
0002007770,2008-05-05,1
0002007770,2008-05-07,1
0002007770,2008-05-09,4
0002007770,2008-05-10,1
0002007770,2008-05-12,2
0002007770,2008-05-14,3
0002007770,2008-05-15,1
0002007770,2008-05-19,2
0002007770,2008-05-20,1
0002007770,2008-05-23,1
0002007770,2008-05-25,1
0002007770,2008-05-27,1
0002007770,2008-05-28,1
0002007770,2008-05-29,1
0002007770,2008-05-30,3
0002007770,2008-05-31,1
0002007770,2008-06-02,2
0002007770,2008-06-04,3
0002007770,2008-06-07,1
0002007770,2008-06-08,1
0002007770,2008-06-10,1
0002007770,2008-06-11,1
0002007770,2008-06-14,1
0002007770,2008-06-15,1
0002007770,2008-06-17,2
0002007770,2008-06-18,2
0002007770,2008-06-19,2
0002007770,2008-06-23,2
0002007770,2008-06-25,1
0002007770,2008-06-30,2
0002007770,2008-07-01,1
0002007770,2008-07-02,1
0002007770,2008-07-05,1
0002007770,2008-07-11,1
0002007770,2008-07-12,1
0002007770,2008-07-13,1
0002007770,2008-07-14,2
0002007770,2008-07-16,1
0002007770,2008-07-18,1
0002007770,2008-07-19,1
0002007770,2008-07-27,1
0002007770,2008-07-28,3
0002007770,2008-07-29,1
0002007770,2008-07-30,2
0002007770,2008-08-01,3
0002007770,2008-08-03,2
0002007770,2008-08-04,1
0002007770,2008-08-05,3
0002007770,2008-08-06,1
0002007770,2008-08-08,1
0002007770,2008-08-10,1
0002007770,2008-08-11,2
0002007770,2008-08-12,1
0002007770,2008-08-14,1
0002007770,2008-08-16,1
0002007770,2008-08-17,1
0002007770,2008-08-18,1
0002007770,2008-08-22,1
0002007770,2008-08-23,1
0002007770,2008-08-24,1
0002007770,2008-08-26,1
0002007770,2008-08-28,1
0002007770,2008-08-30,1
0002007770,2008-09-01,1
0002007770,2008-09-02,2
0002007770,2008-09-04,2
0002007770,2008-09-05,1
0002007770,2008-09-07,1
0002007770,2008-09-10,1
0002007770,2008-09-11,1
0002007770,2008-09-13,1
0002007770,2008-09-14,2
0002007770,2008-09-16,2
0002007770,2008-09-21,1
0002007770,2008-09-23,1
0002007770,2008-09-29,1
0002007770,2008-09-30,1
0002007770,2008-10-01,1
0002007770,2008-10-03,1
0002007770,2008-10-07,1
0002007770,2008-10-09,1
0002007770,2008-10-15,1
0002007770,2008-10-20,1
0002007770,2008-10-22,1
0002007770,2008-10-24,1
0002007770,2008-10-25,1
0002007770,2008-10-29,1
0002007770,2008-10-31,1
0002007770,2008-11-02,1
0002007770,2008-11-04,1
0002007770,2008-11-06,1
0002007770,2008-11-07,1
0002007770,2008-11-08,2
0002007770,2008-11-10,1
0002007770,2008-11-11,1
0002007770,2008-11-14,1
0002007770,2008-11-20,2
0002007770,2008-11-22,1
0002007770,2008-11-23,1
0002007770,2008-11-24,1
0002007770,2008-11-26,1
0002007770,2008-11-30,1
0002007770,2008-12-01,1
0002007770,2008-12-05,1
0002007770,2008-12-06,1
0002007770,2008-12-07,1
0002007770,2008-12-09,1
0002007770,2008-12-10,1
0002007770,2008-12-12,2
0002007770,2008-12-13,1
0002007770,2008-12-15,1
0002007770,2008-12-18,1
0002007770,2008-12-19,1
0002007770,2008-12-21,1
0002007770,2008-12-26,2
0002007770,2008-12-27,1
0002007770,2008-12-28,2
0002007770,2009-01-04,1
0002007770,2009-01-08,2
0002007770,2009-01-10,2
0002007770,2009-01-11,3
0002007770,2009-01-17,1
0002007770,2009-01-18,1
0002007770,2009-01-19,1
0002007770,2009-01-24,1
0002007770,2009-01-25,1
0002007770,2009-01-26,1
0002007770,2009-01-28,1
0002007770,2009-01-29,1
0002007770,2009-02-02,1
0002007770,2009-02-04,2
0002007770,2009-02-05,2
0002007770,2009-02-06,1
0002007770,2009-02-08,1
0002007770,2009-02-09,2
0002007770,2009-02-10,1
0002007770,2009-02-11,1
0002007770,2009-02-12,1
0002007770,2009-02-13,2
0002007770,2009-02-14,1
0002007770,2009-02-15,1
0002007770,2009-02-17,1
0002007770,2009-02-18,1
0002007770,2009-02-19,1
0002007770,2009-02-21,2
0002007770,2009-02-22,2
0002007770,2009-02-23,3
0002007770,2009-02-25,1
0002007770,2009-02-27,1
0002007770,2009-02-28,1
0002007770,2009-03-02,1
0002007770,2009-03-03,2
0002007770,2009-03-04,1
0002007770,2009-03-05,1
0002007770,2009-03-12,1
0002007770,2009-03-19,1
0002007770,2009-03-21,1
0002007770,2009-03-22,1
0002007770,2009-03-25,2
0002007770,2009-03-26,1
0002007770,2009-03-28,1
0002007770,2009-04-02,1
0002007770,2009-04-06,2
0002007770,2009-04-07,1
0002007770,2009-04-14,1
0002007770,2009-04-16,1
0002007770,2009-04-18,1
0002007770,2009-04-21,1
0002007770,2009-04-25,1
0002007770,2009-04-27,1
0002007770,2009-04-30,1
0002007770,2009-05-06,1
0002007770,2009-05-10,1
0002007770,2009-05-11,2
0002007770,2009-05-12,1
0002007770,2009-05-14,1
0002007770,2009-05-21,1
0002007770,2009-05-22,1
0002007770,2009-05-27,1
0002007770,2009-05-30,1
0002007770,2009-06-08,1
0002007770,2009-06-19,1
0002007770,2009-06-22,3
0002007770,2009-06-23,1
0002007770,2009-06-28,1
0002007770,2009-07-01,2
0002007770,2009-07-03,1
0002007770,2009-07-05,1
0002007770,2009-07-09,1
0002007770,2009-07-10,1
0002007770,2009-07-15,1
0002007770,2009-07-16,1
0002007770,2009-07-18,1
0002007770,2009-07-23,2
0002007770,2009-07-25,1
0002007770,2009-07-26,1
0002007770,2009-07-27,1
0002007770,2009-07-28,2
0002007770,2009-08-01,1
0002007770,2009-08-02,1
0002007770,2009-08-05,1
0002007770,2009-08-09,1
0002007770,2009-08-12,1
0002007770,2009-08-13,1
0002007770,2009-08-15,1
0002007770,2009-08-19,2
0002007770,2009-08-21,1
0002007770,2009-08-23,1
0002007770,2009-08-26,1
0002007770,2009-08-28,1
0002007770,2009-09-03,1
0002007770,2009-09-11,1
0002007770,2009-09-15,1
0002007770,2009-09-25,1
0002007770,2009-09-27,1
0002007770,2009-09-28,1
0002007770,2009-09-30,2
0002007770,2009-10-08,1
0002007770,2009-10-17,2
0002007770,2009-10-19,1
0002007770,2009-10-22,1
0002007770,2009-10-25,1
0002007770,2009-10-30,1
0002007770,2009-10-31,1
0002007770,2009-11-04,1
0002007770,2009-11-05,1
0002007770,2009-11-08,1
0002007770,2009-11-10,1
0002007770,2009-11-14,1
0002007770,2009-11-15,2
0002007770,2009-11-17,1
0002007770,2009-11-23,1
0002007770,2009-11-24,1
0002007770,2009-11-25,1
0002007770,2009-12-03,2
0002007770,2009-12-05,1
0002007770,2009-12-06,1
0002007770,2009-12-07,1
0002007770,2009-12-17,1
0002007770,2009-12-22,1
0002007770,2009-12-24,1
0002007770,2009-12-26,1
0002007770,2009-12-28,1
0002007770,2009-12-29,1
0002007770,2009-12-31,1
0002007770,2010-01-02,2
0002007770,2010-01-08,1
0002007770,2010-01-15,1
0002007770,2010-01-19,1
0002007770,2010-01-20,2
0002007770,2010-01-21,1
0002007770,2010-01-25,1
0002007770,2010-01-26,1
0002007770,2010-01-30,1
0002007770,2010-02-01,1
0002007770,2010-02-15,1
0002007770,2010-02-19,1
0002007770,2010-03-03,1
0002007770,2010-03-11,1
0002007770,2010-03-13,1
0002007770,2010-03-16,1
0002007770,2010-03-18,1
0002007770,2010-03-23,2
0002007770,2010-03-26,1
0002007770,2010-04-03,1
0002007770,2010-04-08,1
0002007770,2010-04-10,1
0002007770,2010-04-12,1
0002007770,2010-04-14,2
0002007770,2010-04-17,1
0002007770,2010-04-20,1
0002007770,2010-04-22,1
0002007770,2010-04-24,1
0002007770,2010-04-27,1
0002007770,2010-05-10,1
0002007770,2010-05-13,2
0002007770,2010-05-14,1
0002007770,2010-05-15,2
0002007770,2010-05-18,1
0002007770,2010-05-20,1
0002007770,2010-05-22,1
0002007770,2010-05-23,1
0002007770,2010-05-24,1
0002007770,2010-05-26,1
0002007770,2010-06-01,2
0002007770,2010-06-03,1
0002007770,2010-06-09,2
0002007770,2010-06-10,1
0002007770,2010-06-11,1
0002007770,2010-06-13,1
0002007770,2010-06-15,2
0002007770,2010-06-21,1
0002007770,2010-06-23,1
0002007770,2010-06-29,1
0002007770,2010-07-06,1
0002007770,2010-07-10,1
0002007770,2010-07-12,1
0002007770,2010-07-13,1
0002007770,2010-07-14,2
0002007770,2010-07-15,2
0002007770,2010-07-16,1
0002007770,2010-07-17,1
0002007770,2010-07-19,1
0002007770,2010-07-20,1
0002007770,2010-07-21,1
0002007770,2010-07-26,1
0002007770,2010-07-27,1
0002007770,2010-07-29,3
0002007770,2010-08-08,1
0002007770,2010-08-10,1
0002007770,2010-08-13,2
0002007770,2010-08-16,1
0002007770,2010-08-17,1
0002007770,2010-08-18,2
0002007770,2010-08-22,1
0002007770,2010-08-23,1
0002007770,2010-08-25,2
0002007770,2010-08-27,3
0002007770,2010-08-28,2
0002007770,2010-08-29,1
0002007770,2010-08-31,1
0002007770,2010-09-01,1
0002007770,2010-09-03,1
0002007770,2010-09-04,1
0002007770,2010-09-06,1
0002007770,2010-09-11,1
0002007770,2010-09-12,1
0002007770,2010-09-14,2
0002007770,2010-09-16,1
0002007770,2010-09-17,1
0002007770,2010-09-21,3
0002007770,2010-09-23,1
0002007770,2010-09-24,1
0002007770,2010-09-26,1
0002007770,2010-10-02,1
0002007770,2010-10-05,1
0002007770,2010-10-09,1
0002007770,2010-10-11,1
0002007770,2010-10-12,1
0002007770,2010-10-15,1
0002007770,2010-10-17,1
0002007770,2010-10-20,2
0002007770,2010-10-24,1
0002007770,2010-10-28,1
0002007770,2010-11-01,1
0002007770,2010-11-08,1
0002007770,2010-11-11,1
0002007770,2010-11-12,1
0002007770,2010-11-14,1
0002007770,2010-11-16,1
0002007770,2010-11-20,1
0002007770,2010-11-21,2
0002007770,2010-11-22,1
0002007770,2010-11-29,1
0002007770,2010-12-03,1
0002007770,2010-12-12,1
0002007770,2010-12-13,1
0002007770,2010-12-19,1
0002007770,2010-12-22,1
0002007770,2010-12-26,1
0002007770,2010-12-27,1
0002007770,2010-12-28,2
0002007770,2010-12-29,1
0002007770,2010-12-30,1
0002007770,2011-01-01,1
0002007770,2011-01-02,3
0002007770,2011-01-04,3
0002007770,2011-01-05,1
0002007770,2011-01-06,3
0002007770,2011-01-07,4
0002007770,2011-01-08,2
0002007770,2011-01-09,4
0002007770,2011-01-10,2
0002007770,2011-01-11,3
0002007770,2011-01-13,2
0002007770,2011-01-14,1
0002007770,2011-01-15,2
0002007770,2011-01-16,1
0002007770,2011-01-17,2
0002007770,2011-01-18,4
0002007770,2011-01-19,1
0002007770,2011-01-20,3
0002007770,2011-01-22,1
0002007770,2011-01-23,6
0002007770,2011-01-24,2
0002007770,2011-01-25,3
0002007770,2011-01-26,2
0002007770,2011-01-27,3
0002007770,2011-01-28,1
0002007770,2011-01-29,1
0002007770,2011-01-30,2
0002007770,2011-01-31,1
0002007770,2011-02-01,3
0002007770,2011-02-02,7
0002007770,2011-02-03,1
0002007770,2011-02-04,1
0002007770,2011-02-05,3
0002007770,2011-02-07,1
0002007770,2011-02-08,1
0002007770,2011-02-10,3
0002007770,2011-02-13,2
0002007770,2011-02-14,1
0002007770,2011-02-15,2
0002007770,2011-02-16,1
0002007770,2011-02-17,3
0002007770,2011-02-19,1
0002007770,2011-02-20,3
0002007770,2011-02-22,2
0002007770,2011-02-24,1
0002007770,2011-02-25,4
0002007770,2011-02-26,1
0002007770,2011-02-28,6
0002007770,2011-03-01,2
0002007770,2011-03-02,3
0002007770,2011-03-03,1
0002007770,2011-03-04,1
0002007770,2011-03-05,1
0002007770,2011-03-06,5
0002007770,2011-03-07,2
0002007770,2011-03-08,2
0002007770,2011-03-09,3
0002007770,2011-03-11,4
0002007770,2011-03-12,3
0002007770,2011-03-13,2
0002007770,2011-03-14,3
0002007770,2011-03-15,1
0002007770,2011-03-16,2
0002007770,2011-03-17,2
0002007770,2011-03-18,5
0002007770,2011-03-19,4
0002007770,2011-03-20,2
0002007770,2011-03-21,7
0002007770,2011-03-23,2
0002007770,2011-03-24,2
0002007770,2011-03-25,1
0002007770,2011-03-26,1
0002007770,2011-03-27,1
0002007770,2011-03-28,1
0002007770,2011-03-29,1
0002007770,2011-03-30,8
0002007770,2011-03-31,1
0002007770,2011-04-02,1
0002007770,2011-04-03,3
0002007770,2011-04-04,3
0002007770,2011-04-05,3
0002007770,2011-04-06,3
0002007770,2011-04-08,3
0002007770,2011-04-09,1
0002007770,2011-04-10,2
0002007770,2011-04-11,5
0002007770,2011-04-12,1
0002007770,2011-04-13,6
0002007770,2011-04-14,6
0002007770,2011-04-15,5
0002007770,2011-04-16,5
0002007770,2011-04-17,3
0002007770,2011-04-18,7
0002007770,2011-04-19,4
0002007770,2011-04-20,2
0002007770,2011-04-21,2
0002007770,2011-04-22,6
0002007770,2011-04-23,3
0002007770,2011-04-24,5
0002007770,2011-04-25,3
0002007770,2011-04-26,5
0002007770,2011-04-27,6
0002007770,2011-04-28,1
0002007770,2011-04-29,7
0002007770,2011-04-30,8
0002007770,2011-05-01,4
0002007770,2011-05-02,5
0002007770,2011-05-03,1
0002007770,2011-05-04,3
0002007770,2011-05-05,4
0002007770,2011-05-06,2
0002007770,2011-05-07,1
0002007770,2011-05-09,7
0002007770,2011-05-10,2
0002007770,2011-05-11,3
0002007770,2011-05-12,4
0002007770,2011-05-13,5
0002007770,2011-05-14,3
0002007770,2011-05-15,3
0002007770,2011-05-16,5
0002007770,2011-05-17,5
0002007770,2011-05-18,4
0002007770,2011-05-19,2
0002007770,2011-05-20,2
0002007770,2011-05-21,3
0002007770,2011-05-22,5
0002007770,2011-05-23,1
0002007770,2011-05-24,8
0002007770,2011-05-25,3
0002007770,2011-05-26,2
0002007770,2011-05-27,2
0002007770,2011-05-28,3
0002007770,2011-05-29,2
0002007770,2011-05-30,1
0002007770,2011-05-31,3
0002007770,2011-06-01,3
0002007770,2011-06-02,2
0002007770,2011-06-03,1
0002007770,2011-06-04,1
0002007770,2011-06-05,4
0002007770,2011-06-06,4
0002007770,2011-06-07,2
0002007770,2011-06-08,1
0002007770,2011-06-09,2
0002007770,2011-06-10,2
0002007770,2011-06-11,1
0002007770,2011-06-12,3
0002007770,2011-06-14,1
0002007770,2011-06-15,3
0002007770,2011-06-16,1
0002007770,2011-06-18,1
0002007770,2011-06-19,2
0002007770,2011-06-20,3
0002007770,2011-06-21,2
0002007770,2011-06-22,1
0002007770,2011-06-23,3
0002007770,2011-06-24,3
0002007770,2011-06-25,2
0002007770,2011-06-26,2
0002007770,2011-06-27,2
0002007770,2011-06-28,2
0002007770,2011-06-29,1
0002007770,2011-06-30,2
0002007770,2011-07-01,2
0002007770,2011-07-02,3
0002007770,2011-07-03,1
0002007770,2011-07-04,1
0002007770,2011-07-05,4
0002007770,2011-07-06,4
0002007770,2011-07-07,3
0002007770,2011-07-09,2
0002007770,2011-07-10,1
0002007770,2011-07-11,3
0002007770,2011-07-16,2
0002007770,2011-07-17,1
0002007770,2011-07-19,3
0002007770,2011-07-20,2
0002007770,2011-07-21,1
0002007770,2011-07-22,1
0002007770,2011-07-25,1
0002007770,2011-07-27,1
0002007770,2011-07-28,1
0002007770,2011-07-31,4
0002007770,2011-08-02,3
0002007770,2011-08-03,2
0002007770,2011-08-04,3
0002007770,2011-08-05,1
0002007770,2011-08-06,2
0002007770,2011-08-07,2
0002007770,2011-08-09,2
0002007770,2011-08-10,1
0002007770,2011-08-11,3
0002007770,2011-08-13,1
0002007770,2011-08-14,3
0002007770,2011-08-15,2
0002007770,2011-08-16,2
0002007770,2011-08-17,2
0002007770,2011-08-18,1
0002007770,2011-08-22,2
0002007770,2011-08-25,1
0002007770,2011-08-26,1
0002007770,2011-08-27,2
0002007770,2011-08-28,3
0002007770,2011-08-29,2
0002007770,2011-08-31,1
0002007770,2011-09-02,1
0002007770,2011-09-06,1
0002007770,2011-09-07,4
0002007770,2011-09-08,1
0002007770,2011-09-09,1
0002007770,2011-09-10,1
0002007770,2011-09-12,3
0002007770,2011-09-13,1
0002007770,2011-09-14,3
0002007770,2011-09-15,1
0002007770,2011-09-18,1
0002007770,2011-09-19,2
0002007770,2011-09-20,2
0002007770,2011-09-22,1
0002007770,2011-09-26,2
0002007770,2011-09-27,1
0002007770,2011-09-29,3
0002007770,2011-09-30,2
0002007770,2011-10-02,2
0002007770,2011-10-04,1
0002007770,2011-10-05,2
0002007770,2011-10-08,1
0002007770,2011-10-09,1
0002007770,2011-10-12,1
0002007770,2011-10-13,1
0002007770,2011-10-15,1
0002007770,2011-10-16,1
0002007770,2011-10-17,1
0002007770,2011-10-18,1
0002007770,2011-10-21,1
0002007770,2011-10-22,1
0002007770,2011-10-25,1
0002007770,2011-10-27,3
0002007770,2011-10-28,1
0002007770,2011-10-31,1
0002007770,2011-11-01,1
0002007770,2011-11-03,1
0002007770,2011-11-05,3
0002007770,2011-11-07,1
0002007770,2011-11-08,2
0002007770,2011-11-11,1
0002007770,2011-11-14,1
0002007770,2011-11-15,2
0002007770,2011-11-16,2
0002007770,2011-11-18,1
0002007770,2011-11-20,1
0002007770,2011-11-21,1
0002007770,2011-11-22,1
